DNASource,BioSample,Identifer,Country,Year,Serovar,cgMLST,ST,ResistGene,Host,SampleSource
SRR5057466,SAMN06064345,PNUSAL002658,USA,2016,1/2a,4566,21,"fosX, lin",,Blood
SRR5000308,SAMN05179425,C2014019055,USA,2014,,4567,199,"abc-f, fosX, lin, tet(M)",,Fiesta Scramble Bowl
SRR4416163,SAMN05861040,PNUSAL002526,USA,,,4568,392,"fosX, lin",,
ERR1102380,SAMEA3639579,DMG1500260,Australia,2013,,4569,8,"abc-f, fosX, lin",natural / free-living,Human
SRR5861490,SAMN07350036,FDA1014932-S121-007,USA,2017,,4570,7,"fosX, lin",,Environmental swab
SRR5861491,SAMN07350035,FDA1014932-S123-004,USA,2017,,4570,7,"fosX, lin",,Environmental swab
ERR1230471,SAMEA3857911,,,,,4571,9,"abc-f, fosX, lin",,
SRR3198660,SAMN04506937,ARS-CC9208,USA,2014,,4572,59,"fosX, lin",,Milk
SRR3101602,SAMN04338344,CDPHFDLB-F15M04188-E024,USA,2015,,4573,155,"fosX, lin",,Enviornmental Swab
SRR7547841,SAMN09651000,FDA476983-S020,USA,2009,,4574,5,"fosX, lin",,Environmental
SRR6792303,SAMN08623524,FSIS31800182,USA,2018,,4575,321,"fosX, lin",,RTE Product
SRR1849356,SAMN03354383,CFSAN029621,USA,2015,,4576,145,"fosX, lin",,RTE product:knockwurst
SRR5859412,SAMN07374759,PNUSAL003190,USA,,,4577,155,"fosX, lin",,
SRR6841163,SAMN08668608,FDA1035694-S012-006,USA,2018,,4578,9,"abc-f, fosX, lin",,Environmental swab
SRR1815989,SAMN03359278,BCW_3926,,,,4579,5,"fosX, lin",,
SRR1805398,SAMN03277784,NRRL B-33148,,,,4579,5,"fosX, lin",,Floor drain
SRR988692,SAMN02351526,FSAmonK00001,,,,4580,121,"fosX, lin",,
